id,doctor_name,doctor_phone,hospital_address,specialization,created_at,updated_at
098fef45-dc28-47df-ae9f-65385bb7614d,Dr. Sanjay Kulkarni,+919876543239,"Integrated Healthcare Centre, Pune, Maharashtra",Integrative Medicine,2026-07-24 15:03:32.67498+00,2026-07-24 15:03:32.67498+00
0f0de80b-c09c-40e3-b0f0-633afb4c15d9,Dr. Kavita Rao,+919876543217,"CIMS Hospital, Ahmedabad, Gujarat",Psychiatrist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
1b72095c-e86a-41b6-9c9f-5ce59a9c2d31,Dr. Rina Desai,+919876543215,"Shalby Hospital, Ahmedabad, Gujarat",General Physician,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
2fc8c738-2379-424c-a27f-4bdd06fb3798,Dr. Vivek Mehta,+919876543214,"Zydus Hospital, Ahmedabad, Gujarat",Orthopedic,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
4842509a-135f-4b7e-9340-48771d3ae765,Dr. Rakesh Verma,+919876543236,"National Homeopathy Clinic, Vadodara, Gujarat",Homeopathy,2026-07-24 15:03:32.67498+00,2026-07-24 15:03:32.67498+00
4c12b59f-ddbb-4cbd-82c8-ca6987b537f5,Dr. Meera Nair,+919876543221,"SAL Hospital, Ahmedabad, Gujarat",Ophthalmologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
4f0fa92d-fd01-49cf-b9c6-48624caa1feb,Dr. Rohit Kapoor,+919876543222,"UN Mehta Institute of Cardiology, Ahmedabad, Gujarat",Cardiologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
632714bc-bb09-4b16-9510-b14db3495ca2,Dr. Nikhil Soni,+919876543220,"Sunshine Global Hospital, Vadodara, Gujarat",Radiologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
6afbbb5a-f99c-4344-b8d8-8980dc7f1807,Dr. Sneha Iyer,+919876543219,"Wockhardt Hospital, Rajkot, Gujarat",Gynecologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
80fc6b64-d10c-45bf-8028-c5aa4153e454,Dr. Harsh Trivedi,+919876543218,"Narayana Multispeciality Hospital, Ahmedabad, Gujarat",ENT,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
82158c73-600b-4a5b-966f-c982c626fc34,Dr. Priya Patel,+919876543211,"Sterling Hospital, Ahmedabad, Gujarat",Dermatologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
879daab2-d414-4b25-952a-dd94283942a2,Dr. Rajesh Shah,+919876543210,"Apollo Hospital, Ahmedabad, Gujarat",Cardiologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
898fd110-ede9-4c15-8503-c53812c30c80,Dr. Arjun Joshi,+919876543216,"HCG Cancer Centre, Ahmedabad, Gujarat",Oncologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
9a210617-1100-4859-88b4-b875abf78a62,Dr. Asha Menon,+919876543223,"Care Institute of Medical Sciences (CIMS), Ahmedabad, Gujarat",Dermatologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
b3c43714-1ffa-411e-a11d-43d58cfc4696,Dr. Anjali Joshi,+919876543235,"Ayush Wellness Centre, Ahmedabad, Gujarat",Ayurveda,2026-07-24 15:03:32.67498+00,2026-07-24 15:03:32.67498+00
c9e5d819-997c-422a-bc80-10e088232c49,Dr. Mehul Bhatt,+919876543237,"Siddha Medical Centre, Chennai, Tamil Nadu",Siddha,2026-07-24 15:03:32.67498+00,2026-07-24 15:03:32.67498+00
d6b407cd-126a-4ee7-b525-11ee6a802418,Dr. Amit Kumar,+919876543212,"Civil Hospital, Ahmedabad, Gujarat",Neurologist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
db5471a7-3869-453d-80da-9a853ebdfc25,Dr. Neha Sharma,+919876543213,"KD Hospital, Ahmedabad, Gujarat",Pediatrician,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
e6ec8578-d05d-4721-b86b-723ee80dfe5b,Dr. Pooja Iyer,+919876543238,"Naturopathy & Yoga Institute, Bengaluru, Karnataka",Naturopathy,2026-07-24 15:03:32.67498+00,2026-07-24 15:03:32.67498+00
eab9dbb1-3386-4ade-8dcd-62de477eeb99,Dr. Karan Malhotra,+919876543224,"Civil Hospital, Surat, Gujarat",Dentist,2026-07-24 14:10:09.363324+00,2026-07-24 14:10:09.363324+00
